"Gambia, The",Gambia
 Azerbaijan,Azerbaijan
"Bahamas, The",Bahamas
Cabo Verde,Cape Verde
Congo (Brazzaville),Congo
Congo (Kinshasa),Congo
Cote d'Ivoire,Ivory Coast
Czechia,Czech Republic
Hong Kong SAR,Hong Kong
Iran (Islamic Republic of),Iran
"Korea, South",South Korea
Macao SAR,China
Macau,China
Mainland China,China
occupied Palestinian territory,Palestine
Republic of the Congo,Congo
Republic of Moldova,Moldova
Russian Federation,Russia
Saint Martin,Netherlands
St. Martin,Netherlands
Taiwan*,Taiwan
The Bahamas,Bahamas
The Gambia,Gambia
Timor-Leste,East Timor
UK,United Kingdom
Viet Nam,Vietnam
Diamond Princess,Cruise Ship
MS Zaandam,Cruise Ship
Taipei and environs,Taiwan
Anguilla,United Kingdom
Bermuda,United Kingdom
British Virgin Islands,United Kingdom
Cayman Islands,United Kingdom
Channel Islands,United Kingdom
England,United Kingdom
Falkland Islands (Malvinas),United Kingdom
Gibraltar,United Kingdom
Isle of Man,United Kingdom
Montserrat,United Kingdom
Northern Ireland,United Kingdom
Scotland,United Kingdom
Turks and Caicos Islands,United Kingdom
Jersey,United Kingdom
Guernsey,United Kingdom
Wales,United Kingdom
French Guiana,France
French Polynesia,France
Guadeloupe,France
Martinique,France
Mayotte,France
New Caledonia,France
Reunion,France
Saint Barthelemy,France
Saint Pierre and Miquelon,France
St Martin,France
Aruba,Netherlands
Curacao,Netherlands
Guam,US